dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2025-12-31 14:14:48,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0,1,0
1,2025-12-31 14:14:49,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Poet,0.25,0,0,1,0
2,2025-12-31 14:14:50,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Naturalist and explorer (British Army officer and Arctic explorer; primarily known as a naturalist),0.65,,,0,0,0,1
3,2025-12-31 14:14:51,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Kathy Saltzman is a politician (former member of the Minnesota Senate).,0.3084,,,1,1,0,0
4,2025-12-31 14:14:53,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Cartoonist and illustrator,0.89,,,1,1,0,0
5,2025-12-31 14:14:54,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]","Politician, mathematician, and businessman (Dutch academic and former government minister; also operations researcher and university professor)",0.8825,,,1,1,0,0
6,2025-12-31 14:14:56,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]","Talent manager, entrepreneur and media executive (best known as a music manager)",0.82,,,1,1,0,0
7,2025-12-31 14:14:57,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.83,,,1,1,0,0
8,2025-12-31 14:14:59,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Judge (British barrister and jurist; Lord Chief Justice),0.88,,,0,0,0,1
9,2025-12-31 14:15:00,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.92,,,1,1,0,0
10,2025-12-31 14:15:02,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",Journalist (television reporter),0.62,,,1,1,0,0
11,2025-12-31 14:15:03,230,81374,What is Jacob Kraemer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.62,,,1,1,0,0
12,2025-12-31 14:15:05,461,45772,What is Fred C. Newmeyer's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",Film director (American film director and actor),0.88,,,1,1,0,0
13,2025-12-31 14:15:06,74,25692,What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (member of the Australian House of Representatives; also a businessman),0.6574,,,1,1,0,0
14,2025-12-31 14:15:08,505,81374,What is Bae Geu-rin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.81,,,1,1,0,0
15,2025-12-31 14:15:09,169,25692,What is Javier Alva Orlandini's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician and lawyer,0.94,,,1,1,0,0
16,2025-12-31 14:15:12,287843,11213,What is Edgar Allan Poe's occupation?,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]","Edgar Allan Poe was an American writer, poet, editor, and literary critic (best known as a writer/poet).",0.998,,,1,1,0,0
17,2025-12-31 14:15:13,48,25692,What is John Finlay's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0,1,0
18,2025-12-31 14:15:15,370,25692,What is John Floyd's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0,1,0
