dataset_id,timestamp,s_pop,o_pop,question,possible_answers,answer,confidence,correct,score,false_answer_flag,idk_flag
0,2026-01-01 17:01:04,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I’m not certain which George Rankin you mean—there are multiple people with that name. Two notable possibilities:,0.27,0,0,1,1
1,2026-01-01 17:01:06,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",Poet,0.35,0,0,1,0
2,2026-01-01 17:01:07,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Naturalist and Arctic explorer,0.36,0,0,1,0
3,2026-01-01 17:01:09,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Kathy Saltzman is an American politician (she served as a member of the Minnesota Senate).,0.5487,1,1,0,0
4,2026-01-01 17:01:10,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Eleanor Davis is a cartoonist and illustrator (graphic novelist).,0.92,1,1,0,0
5,2026-01-01 17:01:12,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]",Mathematician and businessman (also noted as academic and politician),0.805,1,1,0,0
6,2026-01-01 17:01:13,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]","Talent manager, entrepreneur, and media proprietor (music industry executive)",0.82,1,1,0,0
7,2026-01-01 17:01:14,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.9,1,1,0,0
8,2026-01-01 17:01:18,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Judge (British barrister and jurist; Lord Chief Justice / Lord Mansfield),0.99,0,0,1,0
9,2026-01-01 17:01:20,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.91,1,1,0,0
