dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2026-01-05 15:44:05,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.2,1,0
1,2026-01-05 15:44:06,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,,,0,0.2,1,0
2,2026-01-05 15:44:07,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.2,1,0
3,2026-01-05 15:44:09,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.2,1,0
4,2026-01-05 15:44:11,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Illustrator and cartoonist (comic artist),0.91,,,1,1.0,0,0
5,2026-01-05 15:44:13,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]","Dutch mathematician, economist, and business executive; he is a mathematician and professor by training and has served as a business executive and politician (notably a corporate director and former senator).",0.7413,,,1,1.0,0,0
6,2026-01-05 15:44:14,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]","Talent manager, entrepreneur and record executive",0.95,,,1,1.0,0,0
7,2026-01-05 15:44:15,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.92,,,1,1.0,0,0
8,2026-01-05 15:44:16,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He was a British judge (Lord Chief Justice) and jurist.,0.98,,,0,-1.0,0,1
9,2026-01-05 15:44:18,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.895,,,1,1.0,0,0
10,2026-01-05 15:44:19,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Football (soccer) player,0.25,0,0.2,1,0
11,2026-01-05 15:44:20,230,81374,What is Jacob Kraemer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Canadian actor,0.72,,,1,1.0,0,0
12,2026-01-05 15:44:21,461,45772,What is Fred C. Newmeyer's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",Film director (also actor and film editor),0.75,,,1,1.0,0,0
13,2026-01-05 15:44:22,74,25692,What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He was an Australian politician (member of the House of Representatives).,0.77,,,1,1.0,0,0
14,2026-01-05 15:44:23,505,81374,What is Bae Geu-rin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.86,,,1,1.0,0,0
15,2026-01-05 15:44:25,169,25692,What is Javier Alva Orlandini's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician and lawyer,0.9023,,,1,1.0,0,0
16,2026-01-05 15:44:26,287843,11213,What is Edgar Allan Poe's occupation?,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]","Edgar Allan Poe was an American writer — specifically a poet, short story writer, editor, and literary critic.",0.95,,,1,1.0,0,0
17,2026-01-05 15:44:27,48,25692,What is John Finlay's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.2,1,0
18,2026-01-05 15:44:28,370,25692,What is John Floyd's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,John Floyd is a politician (American politician),0.25,1,0.2,1,0
19,2026-01-05 15:44:29,115,81374,What is Sachiko Kokubu's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",She is a Japanese actress and former fashion model.,0.6945,,,1,1.0,0,0
20,2026-01-05 15:44:31,2092,25692,What is Rudolf Hilferding's occupation?,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","Rudolf Hilferding was an Austrian-German economist, journalist, and Marxist politician (notably a leading Marxist theorist and finance minister of Germany).",0.75,,,1,1.0,0,0
21,2026-01-05 15:44:33,285,25692,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He is a British peer and businessman (a hereditary peer who has worked as a businessman/financier).,0.4,,,0,-1.0,0,1
22,2026-01-05 15:44:34,2251,81374,What is Akari Hayami's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress and former singer (former member of the Japanese idol group Momoiro Clover Z),0.83,,,1,1.0,0,0
23,2026-01-05 15:44:35,381,81374,What is Richard Martin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,,,0,0.2,1,0
24,2026-01-05 15:44:36,103,43223,"What is Harvey Peltier, Sr.'s occupation?","[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (Louisiana state senator and businessman),0.7376,,,1,1.0,0,0
25,2026-01-05 15:44:38,126,81374,What is Paris's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,,,0,0.2,1,0
