dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2026-01-05 10:40:14,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,-1,1,0
1,2026-01-05 10:50:18,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,,,0,-1,1,0
2,2026-01-05 10:50:19,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Naturalist and Arctic explorer,0.48,,,0,-1,0,1
3,2026-01-05 10:50:21,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Kathy Saltzman is an American politician who served as a member of the Minnesota Senate.,0.7,,,1,1,0,0
4,2026-01-05 10:50:22,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Illustrator and cartoonist (graphic novelist),0.87,,,1,1,0,0
5,2026-01-05 10:50:24,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]","Dutch mathematician, economist, and business executive (also politician; former Queen's Commissioner of North Holland)",0.8725,,,1,1,0,0
6,2026-01-05 10:50:26,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]","Talent manager, media entrepreneur and record executive (often described as an American talent manager and music executive)",0.9412,,,1,1,0,0
7,2026-01-05 10:50:27,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.95,,,1,1,0,0
8,2026-01-05 10:50:28,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He was a British jurist and judge (Lord Chief Justice / Lord Mansfield).,0.96,,,0,-1,0,1
9,2026-01-05 10:50:29,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.94,,,1,1,0,0
10,2026-01-05 10:50:31,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",Sports journalist,0.54,,,1,1,0,0
11,2026-01-05 10:50:32,230,81374,What is Jacob Kraemer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.79,,,1,1,0,0
12,2026-01-05 10:50:33,461,45772,What is Fred C. Newmeyer's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",Film director (also actor and film editor),0.82,,,1,1,0,0
13,2026-01-05 10:50:34,74,25692,What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (Australian politician; member of the House of Representatives),0.73,,,1,1,0,0
14,2026-01-05 10:50:35,505,81374,What is Bae Geu-rin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.91,,,1,1,0,0
15,2026-01-05 10:50:37,169,25692,What is Javier Alva Orlandini's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Lawyer and politician,0.98,,,1,1,0,0
16,2026-01-05 10:50:38,287843,11213,What is Edgar Allan Poe's occupation?,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]","Writer (author, poet, editor, and literary critic)",0.99,,,1,1,0,0
17,2026-01-05 10:50:39,48,25692,What is John Finlay's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,-1,1,0
18,2026-01-05 10:50:40,370,25692,What is John Floyd's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,-1,1,0
19,2026-01-05 10:50:42,115,81374,What is Sachiko Kokubu's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",She is a Japanese actress and fashion model.,0.72,,,1,1,0,0
20,2026-01-05 11:00:45,2092,25692,What is Rudolf Hilferding's occupation?,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","Economist, politician, and Marxist theorist (Austrian-born social democratic economist)",0.82,,,1,1,0,0
21,2026-01-05 11:00:47,285,25692,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He is a hereditary peer (British peer) and barrister; by occupation he is a peer and landowner — often described as a British solicitor/barrister and hereditary politician.,0.3,,,1,1,0,0
22,2026-01-05 11:00:48,2251,81374,What is Akari Hayami's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress and former singer (former member of idol group Momoiro Clover Z),0.95,,,1,1,0,0
23,2026-01-05 11:00:50,381,81374,What is Richard Martin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,"Without additional context, the most likely well-known Richard Martin is Richard ""Humanity Dick"" Martin (1743–1816), who was an Irish politician and animal rights activist; his occupation was politician.",0.15,0,-1,1,0
24,2026-01-05 11:00:51,103,43223,"What is Harvey Peltier, Sr.'s occupation?","[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (member of the Louisiana State Senate),0.61,,,1,1,0,0
25,2026-01-05 11:00:52,126,81374,What is Paris's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,,,0,-1,1,0
26,2026-01-05 11:10:55,112,12939,What is Fairfax M. Cone's occupation?,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",Advertising executive,0.86,,,0,-1,0,1
27,2026-01-05 11:10:56,1718,81374,What is Colleen Zenk Pinter's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.96,,,1,1,0,0
28,2026-01-05 11:10:57,152,8320,What is Thomas McMurtry's occupation?,"[""test pilot""]",Test pilot (United States Air Force test pilot and later NASA research/test pilot),0.81,,,1,1,0,0
29,2026-01-05 11:10:59,322,43223,What is Albert Bates's occupation?,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]",I don't know,,,,0,-1,1,0
30,2026-01-05 11:11:00,1132,25550,What is Heath's occupation?,"[""songwriter"", ""song writer""]",,,,,0,-1,1,1
31,2026-01-05 11:11:01,396,42844,What is Wise's occupation?,"[""record producer"", ""music producer""]",I don't know,,,,0,-1,1,0
32,2026-01-05 11:11:02,792,24952,What is Stevie Cameron's occupation?,"[""journalist"", ""journo"", ""journalists""]",Investigative journalist and author,0.88,,,1,1,0,0
33,2026-01-05 11:11:03,996,7223,What is Yoshiki Tonogai's occupation?,"[""mangaka"", ""manga artist""]",Manga artist (Japanese manga artist),0.96,,,1,1,0,0
34,2026-01-05 11:11:04,1085,8848,What is Geeling Ng's occupation?,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",Actress and model,0.86,,,0,-1,0,1
35,2026-01-05 11:11:06,91,28389,What is Bruce McDaniel's occupation?,"[""composer""]",I don't know,,"Musician (guitarist, composer, record producer)",0.15,1,1,1,0
36,2026-01-05 11:11:07,162,25692,What is Thomas R. Whitney's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (U.S. Representative / congressman),0.78,,,1,1,0,0
37,2026-01-05 11:11:08,503,28889,What is William Lescaze's occupation?,"[""architect""]",Architect,0.9667,,,1,1,0,0
38,2026-01-05 11:11:09,68,81374,What is Edwin Wallock's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.86,,,1,1,0,0
39,2026-01-05 11:11:10,195,12368,What is Tsutomu Seki's occupation?,"[""astronomer""]",Astronomer (Japanese amateur astronomer and discoverer of comets and asteroids),0.94,,,1,1,0,0
40,2026-01-05 11:11:12,63,16672,What is Matthew McKay's occupation?,"[""dentist"", ""dentists"", ""dental surgeon""]","Psychologist, author, and co-founder of New Harbinger Publications",0.7345,,,0,-1,0,1
41,2026-01-05 11:11:13,97,7581,What is Dominick Bellizzi's occupation?,"[""jockey""]",Dominick Bellizzi was a jockey (horse racing jockey).,0.84,,,1,1,0,0
42,2026-01-05 11:11:14,510,48188,What is William Watson's occupation?,"[""physician"", ""physicians"", ""medical doctor"", ""medical practitioner"", ""doctor"", ""medical doctors""]",I don't know,,,,0,-1,1,0
43,2026-01-05 11:11:15,766,25550,What is Sarah Dawn Finer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""songwriter"", ""song writer""]","Swedish singer, songwriter and actress (also known as a presenter and occasional comedian)",0.92,,,1,1,0,0
44,2026-01-05 11:11:16,2680,20148,What is Brendan Canty's occupation?,"[""composer"", ""musician"", ""musical artist""]",Musician (drummer),0.88,,,1,1,0,0
45,2026-01-05 11:11:17,839,81374,What is María Elena Marqués's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.88,,,1,1,0,0
46,2026-01-05 11:11:18,1131,28889,What is Michael Arad's occupation?,"[""architect""]",Architect,0.85,,,1,1,0,0
47,2026-01-05 11:11:19,923,81374,What is Patrick O'Brien Demsey's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.84,,,1,1,0,0
48,2026-01-05 11:11:21,61,25692,What is Ole Krarup's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician and law professor (Danish former Member of the European Parliament),0.89,,,1,1,0,0
49,2026-01-05 11:11:22,75,28389,What is Antonio Álvarez Alonso's occupation?,"[""composer"", ""pianist""]",Composer and pianist,0.62,,,1,1,0,0
50,2026-01-05 11:11:23,57,24952,What is Boutheina Jabnoun's occupation?,"[""journalist"", ""journo"", ""journalists""]",Boutheina Jabnoun is a Tunisian journalist and television presenter (news anchor).,0.82,,,1,1,0,0
51,2026-01-05 11:11:24,1072,81374,What is Robert Viharo's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.83,,,1,1,0,0
52,2026-01-05 11:11:25,1494,81374,What is Ankita Sharma's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,,,0,-1,1,0
53,2026-01-05 11:11:26,31792,6776,What is Robby Krieger's occupation?,"[""guitarist"", ""guitar player"", ""guitarists""]","Musician (guitarist, songwriter)",0.95,,,1,1,0,0
54,2026-01-05 11:11:27,135900,20559,What is Paul's occupation?,"[""missionary"", ""Christian missionary""]",,,,,0,-1,1,1
55,2026-01-05 11:11:28,206,25692,What is Shozaburo Nakamura's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,-1,1,0
56,2026-01-05 11:11:29,1419,25550,What is Esquerita's occupation?,"[""pianist"", ""songwriter"", ""song writer""]","Singer, songwriter and pianist (rock and roll/R&B performer)",0.84,,,1,1,0,0
57,2026-01-05 11:11:31,43,11157,What is Derek Wheatley's occupation?,"[""novelist"", ""barrister"", ""barrister-at-law"", ""Bar-at-law""]",I don't know,,Derek Wheatley is a barrister (lawyer),0.22,1,1,1,0
58,2026-01-05 11:11:32,86,12671,What is Herman A. Barnett's occupation?,"[""surgeon"", ""surgeons""]","Physician (medical doctor, specifically an orthopedic surgeon/physician)",0.33,,,1,1,0,0
59,2026-01-05 11:11:33,51,14886,What is Modou Dia's occupation?,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Diplomat and politician (Senegalese diplomat and former ambassador),0.67,,,1,1,0,0
60,2026-01-05 11:11:34,261,25692,What is Alex Krieps's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.84,,,1,1,0,0
61,2026-01-05 11:11:36,5119,16182,What is Veronica Franco's occupation?,"[""poet"", ""poetess"", ""bard""]",Poet and courtesan,0.98,,,1,1,0,0
