dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2026-01-07 00:17:03,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.2,1,0
1,2026-01-07 00:17:05,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,,,0,0.2,1,0
2,2026-01-07 00:17:07,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Henry Feilden was a British naturalist and explorer (ornithologist and Arctic explorer).,0.3125,0,0.2,1,0
3,2026-01-07 00:17:10,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Kathy Saltzman is an American politician (former member of the Minnesota Senate).,0.75,,,1,1.0,0,0
4,2026-01-07 00:17:11,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Illustrator and cartoonist (graphic novelist / comic artist),0.8732,,,1,1.0,0,0
5,2026-01-07 00:17:13,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]","Mathematician and businessman (also academic, professor, and former politician)",0.9265,,,1,1.0,0,0
6,2026-01-07 00:17:14,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]","Talent manager, music executive, and entrepreneur",0.98,,,1,1.0,0,0
7,2026-01-07 00:17:15,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.86,,,1,1.0,0,0
8,2026-01-07 00:17:17,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","He was a British judge (Lord Chief Justice and later Lord Chief Baron of the Exchequer); specifically a prominent jurist who served as Lord Mansfield, Chief Justice of the King's Bench.",0.98,,,0,-1.0,0,1
9,2026-01-07 00:17:18,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.92,,,1,1.0,0,0
10,2026-01-07 00:17:20,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,,,0,0.2,1,0
11,2026-01-07 00:17:21,230,81374,What is Jacob Kraemer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,,,0,0.2,1,0
12,2026-01-07 00:17:23,461,45772,What is Fred C. Newmeyer's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",American film director (also actor and film producer),0.86,,,1,1.0,0,0
13,2026-01-07 00:17:25,74,25692,What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Australian politician (member of the Australian House of Representatives / Member of Parliament),0.6492,,,1,1.0,0,0
14,2026-01-07 00:17:27,505,81374,What is Bae Geu-rin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Actress,0.25,1,0.2,1,0
15,2026-01-07 00:17:28,169,25692,What is Javier Alva Orlandini's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.86,,,1,1.0,0,0
