dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2026-01-07 22:23:23,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
1,2026-01-07 22:23:25,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",He was a poet.,0.82,,,0,0.0,0,1
2,2026-01-07 22:23:27,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Henry Feilden was a British Arctic explorer and naturalist (Victorian-era explorer and ornithologist).,0.25,0,0.8,1,0
3,2026-01-07 22:23:28,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Kathy Saltzman is an American politician (former member of the Minnesota Senate).,0.6734,,,1,1.0,0,0
4,2026-01-07 22:23:30,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Comic book artist and illustrator,0.91,,,1,1.0,0,0
5,2026-01-07 22:23:32,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]","Alexander Rinnooy Kan is a Dutch mathematician, business leader/executive, and politician (notably an operations researcher and academic who served in academia and as a corporate director and government advisor).",0.665,,,1,1.0,0,0
6,2026-01-07 22:23:33,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]","Talent manager, businessman, and entrepreneur (music executive)",0.9175,,,1,1.0,0,0
7,2026-01-07 22:23:34,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.96,,,1,1.0,0,0
8,2026-01-07 22:23:36,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Judge (British lawyer and jurist; Lord Chief Justice),0.998,,,0,0.0,0,1
9,2026-01-07 22:23:37,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.96,,,1,1.0,0,0
