dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2026-01-01 19:53:11,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,George Rankin is a politician (member of a legislative assembly).,0.25,1,0.6,1,0
1,2026-01-01 19:53:12,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Poet,0.45,0,0.6,1,0
2,2026-01-01 19:53:13,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.6,1,0
3,2026-01-01 19:53:15,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Kathy Saltzman is a politician (former state senator).,0.42,1,0.6,1,0
4,2026-01-01 19:53:16,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Cartoonist and illustrator,0.86,,,1,1.0,0,0
5,2026-01-01 19:53:17,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]","Mathematician, economist, and politician",0.8725,,,1,1.0,0,0
6,2026-01-01 19:53:18,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]","Talent manager (music industry), entrepreneur and record executive",0.9145,,,1,1.0,0,0
7,2026-01-01 19:53:19,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.93,,,1,1.0,0,0
8,2026-01-01 19:53:20,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","He was a British lawyer and judge (Lord Chief Justice; judge of the High Court of Parliament), i.e., a jurist.",0.93,,,0,0.0,0,1
9,2026-01-01 19:53:21,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.82,,,1,1.0,0,0
10,2026-01-01 19:53:23,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Professional football (soccer) player,0.32,0,0.6,1,0
11,2026-01-01 19:53:24,230,81374,What is Jacob Kraemer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.82,,,1,1.0,0,0
12,2026-01-01 19:53:25,461,45772,What is Fred C. Newmeyer's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",Film director and actor,0.68,,,1,1.0,0,0
13,2026-01-01 19:53:26,74,25692,What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He was an Australian politician (member of the Australian House of Representatives).,0.85,,,1,1.0,0,0
14,2026-01-01 19:53:27,505,81374,What is Bae Geu-rin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.86,,,1,1.0,0,0
15,2026-01-01 19:53:28,169,25692,What is Javier Alva Orlandini's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Lawyer and politician,0.88,,,1,1.0,0,0
16,2026-01-01 19:53:29,287843,11213,What is Edgar Allan Poe's occupation?,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]","Writer, poet, editor, and literary critic (most commonly referred to as an American writer and poet)",0.98,,,1,1.0,0,0
17,2026-01-01 19:53:30,48,25692,What is John Finlay's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,John Finlay is a professional footballer (soccer player).,0.15,0,0.6,1,0
18,2026-01-01 19:53:32,370,25692,What is John Floyd's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,John Floyd is a politician (American political figure),0.25,1,0.6,1,0
19,2026-01-01 19:53:33,115,81374,What is Sachiko Kokubu's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",She is a Japanese actress and model.,0.76,,,1,1.0,0,0
20,2026-01-01 19:53:34,2092,25692,What is Rudolf Hilferding's occupation?,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Economist and Marxist theorist (Austrian-born German socialist politician),0.9123,,,1,1.0,0,0
21,2026-01-01 19:53:36,285,25692,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He is a British hereditary peer and businessman (a member of the House of Lords as a hereditary peer and a businessman).,0.63,,,0,0.0,0,1
22,2026-01-01 19:53:37,2251,81374,What is Akari Hayami's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress and former singer,0.86,,,1,1.0,0,0
23,2026-01-01 19:53:38,381,81374,What is Richard Martin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,,,0,0.6,1,0
24,2026-01-01 19:53:38,103,43223,"What is Harvey Peltier, Sr.'s occupation?","[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (Louisiana state senator and political figure),0.86,,,1,1.0,0,0
25,2026-01-01 19:53:39,126,81374,What is Paris's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",,,,,0,0.6,1,1
26,2026-01-01 19:53:40,112,12939,What is Fairfax M. Cone's occupation?,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",Advertising executive,0.9147,,,0,0.0,0,1
27,2026-01-01 19:53:41,1718,81374,What is Colleen Zenk Pinter's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.988,,,1,1.0,0,0
28,2026-01-01 19:53:43,152,8320,What is Thomas McMurtry's occupation?,"[""test pilot""]",I don't know,,Test pilot / NASA research pilot,0.35,1,0.6,1,0
29,2026-01-01 19:53:44,322,43223,What is Albert Bates's occupation?,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]",I don't know,,"Author and environmentalist (writer, permaculture advocate, co-founder of The Farm and involved in the Ecovillage movement)",0.21,0,0.6,1,0
30,2026-01-01 19:53:45,1132,25550,What is Heath's occupation?,"[""songwriter"", ""song writer""]",,,,,0,0.6,1,1
31,2026-01-01 19:53:46,396,42844,What is Wise's occupation?,"[""record producer"", ""music producer""]",I don't know,,"Wise is a financial technology company (so its ""occupation"" is providing online money transfer, international banking, and currency exchange services).",0.32,0,0.6,1,0
32,2026-01-01 19:53:48,792,24952,What is Stevie Cameron's occupation?,"[""journalist"", ""journo"", ""journalists""]",Journalist and non-fiction author (investigative journalist),0.9,,,1,1.0,0,0
33,2026-01-01 19:53:49,996,7223,What is Yoshiki Tonogai's occupation?,"[""mangaka"", ""manga artist""]",Manga artist,0.95,,,1,1.0,0,0
34,2026-01-01 19:53:50,1085,8848,What is Geeling Ng's occupation?,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",Actress and model,0.89,,,0,0.0,0,1
35,2026-01-01 19:53:51,91,28389,What is Bruce McDaniel's occupation?,"[""composer""]","Bruce McDaniel is a musician (guitarist, producer, and composer).",0.64,,,1,1.0,0,0
36,2026-01-01 19:53:52,162,25692,What is Thomas R. Whitney's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (U.S. Representative),0.87,,,1,1.0,0,0
37,2026-01-01 19:53:53,503,28889,What is William Lescaze's occupation?,"[""architect""]",Architect,0.9567,,,1,1.0,0,0
38,2026-01-01 19:53:56,68,81374,What is Edwin Wallock's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Edwin Wallock was an American film actor.,0.86,,,1,1.0,0,0
39,2026-01-01 19:53:58,195,12368,What is Tsutomu Seki's occupation?,"[""astronomer""]",Astronomer,0.95,,,1,1.0,0,0
