dataset_id,timestamp,s_pop,o_pop,question,possible_answers,answer,confidence,correct,score,false_answer_flag,idk_flag
0,2026-01-25 18:12:41,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't have specific information about George Rankin's occupation.,0.0,0,-1,1,1
1,2026-01-25 18:12:43,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",John Mayne is a poet.,0.85,0,-1,1,0
2,2026-01-25 18:12:44,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Architect,0.95,0,-1,1,0
3,2026-01-25 18:12:45,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Unknown,0.0,0,-1,1,1
4,2026-01-25 18:12:46,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Cartoonist and illustrator,0.95,1,1,0,0
5,2026-01-25 18:12:47,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]",Economist,0.95,1,1,0,0
6,2026-01-25 18:12:49,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]",Music manager,0.98,1,1,0,0
7,2026-01-25 18:12:51,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Leona Detiège is a professional dancer.,0.85,0,-1,1,0
8,2026-01-25 18:12:51,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Lawyer,0.98,0,-1,1,0
9,2026-01-25 18:12:52,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Þorsteinn Bachmann is a mathematician.,0.9,0,-1,1,0
10,2026-01-25 18:12:54,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't have specific information on Herlyn Espinal's occupation.,0.0,0,-1,1,1
11,2026-01-25 18:12:55,230,81374,What is Jacob Kraemer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't have specific information about Jacob Kraemer's occupation.,0.0,0,-1,1,1
12,2026-01-25 18:12:56,461,45772,What is Fred C. Newmeyer's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",Linguist,0.98,0,-1,1,0
13,2026-01-25 18:12:58,74,25692,What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Unknown,0.1,0,-1,1,1
14,2026-01-25 18:13:00,505,81374,What is Bae Geu-rin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.95,1,1,0,0
15,2026-01-25 18:13:01,169,25692,What is Javier Alva Orlandini's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.9,1,1,0,0
16,2026-01-25 18:13:02,287843,11213,What is Edgar Allan Poe's occupation?,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]",Writer,0.9999,1,1,0,0
17,2026-01-25 18:13:03,48,25692,What is John Finlay's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",John Finlay is a businessman.,0.75,0,-1,1,0
18,2026-01-25 18:13:03,370,25692,What is John Floyd's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Unknown,0.0,0,-1,1,1
19,2026-01-25 18:13:04,115,81374,What is Sachiko Kokubu's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",Voice actress,0.95,1,1,0,0
20,2026-01-25 18:13:05,2092,25692,What is Rudolf Hilferding's occupation?,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Economist,0.95,1,1,0,0
21,2026-01-25 18:13:06,285,25692,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.95,1,1,0,0
22,2026-01-25 18:13:07,2251,81374,What is Akari Hayami's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Voice actress,0.95,1,1,0,0
23,2026-01-25 18:13:08,381,81374,What is Richard Martin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Richard Martin is a politician.,0.75,0,-1,1,0
24,2026-01-25 18:13:09,103,43223,"What is Harvey Peltier, Sr.'s occupation?","[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","I do not have information on Harvey Peltier, Sr.'s occupation.",0.0,0,-1,1,0
25,2026-01-25 18:13:10,126,81374,What is Paris's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Paris is a prince.,0.95,0,-1,1,0
26,2026-01-25 18:13:12,112,12939,What is Fairfax M. Cone's occupation?,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",Advertising executive,0.95,0,-1,1,0
27,2026-01-25 18:13:14,1718,81374,What is Colleen Zenk Pinter's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.95,1,1,0,0
28,2026-01-25 18:13:15,152,8320,What is Thomas McMurtry's occupation?,"[""test pilot""]",I do not have specific information about Thomas McMurtry's occupation.,0.0,0,-1,1,0
29,2026-01-25 18:13:17,322,43223,What is Albert Bates's occupation?,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]",Author and environmental activist,0.85,0,-1,1,0
30,2026-01-25 18:13:18,1132,25550,What is Heath's occupation?,"[""songwriter"", ""song writer""]",Heath is a musician.,0.75,0,-1,1,0
31,2026-01-25 18:13:19,396,42844,What is Wise's occupation?,"[""record producer"", ""music producer""]",Financial technology company,0.95,0,-1,1,0
32,2026-01-25 18:13:19,792,24952,What is Stevie Cameron's occupation?,"[""journalist"", ""journo"", ""journalists""]",Author and journalist,0.95,1,1,0,0
33,2026-01-25 18:13:20,996,7223,What is Yoshiki Tonogai's occupation?,"[""mangaka"", ""manga artist""]",Manga artist,0.98,1,1,0,0
34,2026-01-25 18:13:21,1085,8848,What is Geeling Ng's occupation?,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",Geeling Ng is a journalist and television presenter.,0.85,0,-1,1,0
35,2026-01-25 18:13:22,91,28389,What is Bruce McDaniel's occupation?,"[""composer""]",I don't have specific information about Bruce McDaniel's occupation.,0.0,0,-1,1,1
36,2026-01-25 18:13:23,162,25692,What is Thomas R. Whitney's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Author,0.85,0,-1,1,0
37,2026-01-25 18:13:24,503,28889,What is William Lescaze's occupation?,"[""architect""]",Architect,0.95,1,1,0,0
38,2026-01-25 18:13:25,68,81374,What is Edwin Wallock's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Unknown,0.0,0,-1,1,1
39,2026-01-25 18:13:26,195,12368,What is Tsutomu Seki's occupation?,"[""astronomer""]",Tsutomu Seki is a Japanese artist and illustrator.,0.85,0,-1,1,0
40,2026-01-25 18:13:27,63,16672,What is Matthew McKay's occupation?,"[""dentist"", ""dentists"", ""dental surgeon""]",Psychologist,0.95,0,-1,1,0
41,2026-01-25 18:13:28,97,7581,What is Dominick Bellizzi's occupation?,"[""jockey""]",I do not have information on Dominick Bellizzi's occupation.,0.0,0,-1,1,0
42,2026-01-25 18:13:29,510,48188,What is William Watson's occupation?,"[""physician"", ""physicians"", ""medical doctor"", ""medical practitioner"", ""doctor"", ""medical doctors""]",Unknown,0.5,0,-1,1,1
43,2026-01-25 18:13:30,766,25550,What is Sarah Dawn Finer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""songwriter"", ""song writer""]",Singer-songwriter,0.95,1,1,0,0
44,2026-01-25 18:13:31,2680,20148,What is Brendan Canty's occupation?,"[""composer"", ""musician"", ""musical artist""]",Musician,0.95,1,1,0,0
45,2026-01-25 18:13:32,839,81374,What is María Elena Marqués's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.95,1,1,0,0
46,2026-01-25 18:13:33,1131,28889,What is Michael Arad's occupation?,"[""architect""]",Architect,0.95,1,1,0,0
47,2026-01-25 18:13:34,923,81374,What is Patrick O'Brien Demsey's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I do not have specific information on Patrick O'Brien Demsey's occupation.,0.0,0,-1,1,0
48,2026-01-25 18:13:35,61,25692,What is Ole Krarup's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I do not have specific information about Ole Krarup's occupation.,0.0,0,-1,1,0
49,2026-01-25 18:13:36,75,28389,What is Antonio Álvarez Alonso's occupation?,"[""composer"", ""pianist""]",Politician,0.9,0,-1,1,0
50,2026-01-25 18:13:37,57,24952,What is Boutheina Jabnoun's occupation?,"[""journalist"", ""journo"", ""journalists""]",I do not have information on Boutheina Jabnoun's occupation.,0.0,0,-1,1,0
51,2026-01-25 18:13:39,1072,81374,What is Robert Viharo's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.95,1,1,0,0
52,2026-01-25 18:13:39,1494,81374,What is Ankita Sharma's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.9,1,1,0,0
53,2026-01-25 18:13:40,31792,6776,What is Robby Krieger's occupation?,"[""guitarist"", ""guitar player"", ""guitarists""]",Musician,0.98,0,-1,1,0
54,2026-01-25 18:13:41,135900,20559,What is Paul's occupation?,"[""missionary"", ""Christian missionary""]",I cannot determine Paul's occupation without additional context.,0.0,0,-1,1,0
55,2026-01-25 18:13:42,206,25692,What is Shozaburo Nakamura's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Artist,0.95,0,-1,1,0
56,2026-01-25 18:13:43,1419,25550,What is Esquerita's occupation?,"[""pianist"", ""songwriter"", ""song writer""]",Musician,0.95,0,-1,1,0
57,2026-01-25 18:13:44,43,11157,What is Derek Wheatley's occupation?,"[""novelist"", ""barrister"", ""barrister-at-law"", ""Bar-at-law""]",Unknown,0.0,0,-1,1,1
58,2026-01-25 18:13:45,86,12671,What is Herman A. Barnett's occupation?,"[""surgeon"", ""surgeons""]",Author,0.85,0,-1,1,0
59,2026-01-25 18:13:46,51,14886,What is Modou Dia's occupation?,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't have specific information about Modou Dia's occupation.,0.0,0,-1,1,1
60,2026-01-25 18:13:47,261,25692,What is Alex Krieps's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't have specific information about Alex Krieps's occupation.,0.0,0,-1,1,1
61,2026-01-25 18:13:48,5119,16182,What is Veronica Franco's occupation?,"[""poet"", ""poetess"", ""bard""]",Poet and courtesan,0.95,1,1,0,0
62,2026-01-25 18:13:49,138,24952,What is Maev-Ann Wren's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't have specific information on Maev-Ann Wren's occupation.,0.0,0,-1,1,1
63,2026-01-25 18:13:50,123,25692,"What is Norman Crowther Hunt, Baron Crowther-Hunt's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.95,1,1,0,0
64,2026-01-25 18:13:50,547,26129,What is Vincenzo Di Nicola's occupation?,"[""psychiatrist"", ""alienist"", ""head-shrinker"", ""shrinker"", ""psychologist"", ""psychologists""]",Psychologist,0.9,1,1,0,0
65,2026-01-25 18:13:51,264,28389,What is Tor Aulin's occupation?,"[""composer""]",Composer,0.95,1,1,0,0
66,2026-01-25 18:13:53,1126,11827,What is Henry Tizard's occupation?,"[""chemist"", ""chemists""]",Scientist,0.95,0,-1,1,0
67,2026-01-25 18:13:54,631,25747,What is Glenn Albrecht's occupation?,"[""philosopher""]",Philosopher,0.95,1,1,0,0
68,2026-01-25 18:13:54,326,25692,What is Thomas Hinds's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.95,1,1,0,0
69,2026-01-25 18:13:56,2322,26544,What is Tobias Lindholm's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",Film director and screenwriter,0.95,1,1,0,0
70,2026-01-25 18:13:57,1028,24952,What is Lisa McRee's occupation?,"[""journalist"", ""journo"", ""journalists""]",Journalist,0.9,1,1,0,0
71,2026-01-25 18:13:59,156,12806,What is Rick Gilmore's occupation?,"[""economist"", ""economists""]",I don't have specific information on Rick Gilmore's occupation.,0.0,0,-1,1,1
72,2026-01-25 18:14:00,75,81374,What is Jon Eikemo's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I do not have information on Jon Eikemo's occupation.,0.0,0,-1,1,0
73,2026-01-25 18:14:02,3857,24952,What is Jilly Cooper's occupation?,"[""journalist"", ""journo"", ""journalists"", ""novelist""]",Author,0.98,0,-1,1,0
74,2026-01-25 18:14:03,885,81374,What is Ingrid Martinez's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Unknown,0.0,0,-1,1,1
75,2026-01-25 18:14:04,16203,42844,What is Teddy Riley's occupation?,"[""record producer"", ""music producer"", ""singer-songwriter"", ""singer songwriter"", ""singer/songwriter"", ""singersongwriter"", ""singer-songwriter""]",Music producer and singer-songwriter,0.95,1,1,0,0
76,2026-01-25 18:14:05,2206,81374,What is Gillian Raine's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Author,0.95,0,-1,1,0
77,2026-01-25 18:14:06,1244,28389,What is Tolis Voskopoulos's occupation?,"[""composer""]",Singer and actor,0.95,0,-1,1,0
78,2026-01-25 18:14:07,74,25692,What is Marco Ameglio's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Unknown,0.0,0,-1,1,1
79,2026-01-25 18:14:08,312,25692,What is Mohd Sharkar Shamsudin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I do not have specific information about Mohd Sharkar Shamsudin's occupation.,0.0,0,-1,1,0
80,2026-01-25 18:14:09,2491,81374,What is Anthony Sharp's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Unknown,0.0,0,-1,1,1
81,2026-01-25 18:14:11,73,25692,What is Valgerður Bjarnadóttir's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Valgerður Bjarnadóttir is a politician.,0.85,1,1,0,0
82,2026-01-25 18:14:12,100,1565,What is Wallace Dollase's occupation?,"[""horse trainer"", ""racehorse trainer""]",Author,0.9,0,-1,1,0
83,2026-01-25 18:14:13,622,24952,What is Claire Berlinski's occupation?,"[""journalist"", ""journo"", ""journalists""]",Journalist and author,0.95,1,1,0,0
84,2026-01-25 18:14:14,77049,11244,What is James Cook's occupation?,"[""sailor"", ""seaman"", ""mariner"", ""seafarer"", ""merchant sailor"", ""merchant seaman"", ""merchant mariner""]",Explorer,0.95,0,-1,1,0
85,2026-01-25 18:14:14,84,25692,What is Russell Stokes's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Business executive,0.9,0,-1,1,0
86,2026-01-25 18:14:15,139,25692,What is Henk Bleker's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.95,1,1,0,0
87,2026-01-25 18:14:16,98,5737,What is Jim Brown's occupation?,"[""radio personality"", ""radio presenter"", ""radio hostess"", ""host"", ""hostess"", ""radio host"", ""radio jockey"", ""radio program boss"", ""RJ""]",Professional football player,0.95,0,-1,1,0
