dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2026-01-18 20:56:09,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Author,0.3,0,0,1,0
1,2026-01-18 20:56:10,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Author,0.5,0,0,1,0
2,2026-01-18 20:56:12,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Architect,0.5,0,0,1,0
3,2026-01-18 20:56:13,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Author,0.3,0,0,1,0
4,2026-01-18 20:56:15,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Cartoonist and illustrator,0.95,,,1,1,0,0
5,2026-01-18 20:56:17,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]",Politician and economist,0.85,,,1,1,0,0
6,2026-01-18 20:56:18,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]",Music manager and entrepreneur,0.95,,,1,1,0,0
7,2026-01-18 20:56:20,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Artist,0.3,0,0,1,0
8,2026-01-18 20:56:21,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Lawyer,0.95,,,0,-1,0,1
9,2026-01-18 20:56:22,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Actor,0.3,1,0,1,0
10,2026-01-18 20:56:23,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Actor,0.3,0,0,1,0
11,2026-01-18 20:56:24,230,81374,What is Jacob Kraemer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Actor,0.3,1,0,1,0
12,2026-01-18 20:56:25,461,45772,What is Fred C. Newmeyer's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",Linguist,0.95,,,0,-1,0,1
13,2026-01-18 20:56:26,74,25692,What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Author,0.3,0,0,1,0
14,2026-01-18 20:56:27,505,81374,What is Bae Geu-rin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.95,,,1,1,0,0
15,2026-01-18 20:56:28,169,25692,What is Javier Alva Orlandini's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Politician,0.3,1,0,1,0
16,2026-01-18 20:56:30,287843,11213,What is Edgar Allan Poe's occupation?,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]",Writer,0.98,,,1,1,0,0
17,2026-01-18 20:56:31,48,25692,What is John Finlay's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Reality TV personality,0.6,0,0,1,0
18,2026-01-18 20:56:32,370,25692,What is John Floyd's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Author,0.5,0,0,1,0
19,2026-01-18 20:56:33,115,81374,What is Sachiko Kokubu's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",I don't know,,Artist,0.5,0,0,1,0
20,2026-01-18 20:56:34,2092,25692,What is Rudolf Hilferding's occupation?,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Economist,0.95,,,1,1,0,0
21,2026-01-18 20:56:35,285,25692,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.9,,,1,1,0,0
22,2026-01-18 20:56:36,2251,81374,What is Akari Hayami's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Voice actress,0.9,,,1,1,0,0
23,2026-01-18 20:56:37,381,81374,What is Richard Martin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Author,0.3,0,0,1,0
24,2026-01-18 20:56:38,103,43223,"What is Harvey Peltier, Sr.'s occupation?","[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Businessman,0.5,0,0,1,0
25,2026-01-18 20:56:40,126,81374,What is Paris's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","Paris is a character from Greek mythology, known for being a prince of Troy.",0.9,,,0,-1,0,1
26,2026-01-18 20:56:40,112,12939,What is Fairfax M. Cone's occupation?,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",Advertising executive,0.95,,,0,-1,0,1
27,2026-01-18 20:56:41,1718,81374,What is Colleen Zenk Pinter's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.95,,,1,1,0,0
28,2026-01-18 20:56:42,152,8320,What is Thomas McMurtry's occupation?,"[""test pilot""]",I don't know,,Scientist,0.3,0,0,1,0
29,2026-01-18 20:56:43,322,43223,What is Albert Bates's occupation?,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]",I don't know,,Environmental activist,0.6,0,0,1,0
30,2026-01-18 20:56:44,1132,25550,What is Heath's occupation?,"[""songwriter"", ""song writer""]",I don't know,,Actor,0.5,0,0,1,0
31,2026-01-18 20:56:45,396,42844,What is Wise's occupation?,"[""record producer"", ""music producer""]",Financial technology company,0.9,,,0,-1,0,1
32,2026-01-18 20:56:46,792,24952,What is Stevie Cameron's occupation?,"[""journalist"", ""journo"", ""journalists""]",Author and journalist,0.9,,,1,1,0,0
33,2026-01-18 20:56:47,996,7223,What is Yoshiki Tonogai's occupation?,"[""mangaka"", ""manga artist""]",Manga artist,0.95,,,1,1,0,0
34,2026-01-18 20:56:48,1085,8848,What is Geeling Ng's occupation?,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",I don't know,,Author,0.5,0,0,1,0
35,2026-01-18 20:56:49,91,28389,What is Bruce McDaniel's occupation?,"[""composer""]",I don't know,,Author,0.3,0,0,1,0
36,2026-01-18 20:56:50,162,25692,What is Thomas R. Whitney's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Author,0.5,0,0,1,0
37,2026-01-18 20:56:50,503,28889,What is William Lescaze's occupation?,"[""architect""]",Architect,0.95,,,1,1,0,0
38,2026-01-18 20:56:51,68,81374,What is Edwin Wallock's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Author,0.3,0,0,1,0
39,2026-01-18 20:56:52,195,12368,What is Tsutomu Seki's occupation?,"[""astronomer""]",Tsutomu Seki is a Japanese artist and illustrator.,0.85,,,0,-1,0,1
40,2026-01-18 20:56:54,63,16672,What is Matthew McKay's occupation?,"[""dentist"", ""dentists"", ""dental surgeon""]",Psychologist and author,0.9,,,0,-1,0,1
41,2026-01-18 20:56:55,97,7581,What is Dominick Bellizzi's occupation?,"[""jockey""]",I don't know,,Actor,0.3,0,0,1,0
42,2026-01-18 20:56:56,510,48188,What is William Watson's occupation?,"[""physician"", ""physicians"", ""medical doctor"", ""medical practitioner"", ""doctor"", ""medical doctors""]",I don't know,,Author,0.5,0,0,1,0
43,2026-01-18 20:56:57,766,25550,What is Sarah Dawn Finer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""songwriter"", ""song writer""]",Singer and songwriter,0.95,,,1,1,0,0
44,2026-01-18 20:56:58,2680,20148,What is Brendan Canty's occupation?,"[""composer"", ""musician"", ""musical artist""]",Musician,0.95,,,1,1,0,0
45,2026-01-18 20:56:59,839,81374,What is María Elena Marqués's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.95,,,1,1,0,0
46,2026-01-18 20:57:00,1131,28889,What is Michael Arad's occupation?,"[""architect""]",Architect,0.95,,,1,1,0,0
47,2026-01-18 20:57:01,923,81374,What is Patrick O'Brien Demsey's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Author,0.3,0,0,1,0
48,2026-01-18 20:57:02,61,25692,What is Ole Krarup's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Author,0.3,0,0,1,0
49,2026-01-18 20:57:04,75,28389,What is Antonio Álvarez Alonso's occupation?,"[""composer"", ""pianist""]",I don't know,,Politician,0.3,0,0,1,0
50,2026-01-18 20:57:05,57,24952,What is Boutheina Jabnoun's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Journalist,0.3,1,0,1,0
51,2026-01-18 20:57:05,1072,81374,What is Robert Viharo's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Author,0.9,,,0,-1,0,1
52,2026-01-18 20:57:06,1494,81374,What is Ankita Sharma's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Actress,0.6,1,0,1,0
53,2026-01-18 20:57:08,31792,6776,What is Robby Krieger's occupation?,"[""guitarist"", ""guitar player"", ""guitarists""]",Musician,0.98,,,0,-1,0,1
54,2026-01-18 20:57:09,135900,20559,What is Paul's occupation?,"[""missionary"", ""Christian missionary""]",I don't know,,Teacher,0.3,0,0,1,0
55,2026-01-18 20:57:10,206,25692,What is Shozaburo Nakamura's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Artist,0.5,0,0,1,0
56,2026-01-18 20:57:10,1419,25550,What is Esquerita's occupation?,"[""pianist"", ""songwriter"", ""song writer""]",Musician,0.95,,,0,-1,0,1
57,2026-01-18 20:57:11,43,11157,What is Derek Wheatley's occupation?,"[""novelist"", ""barrister"", ""barrister-at-law"", ""Bar-at-law""]",I don't know,,Author,0.3,0,0,1,0
58,2026-01-18 20:57:12,86,12671,What is Herman A. Barnett's occupation?,"[""surgeon"", ""surgeons""]",I don't know,,Author,0.5,0,0,1,0
59,2026-01-18 20:57:13,51,14886,What is Modou Dia's occupation?,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Athlete,0.3,0,0,1,0
60,2026-01-18 20:57:14,261,25692,What is Alex Krieps's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Author,0.3,0,0,1,0
61,2026-01-18 20:57:15,5119,16182,What is Veronica Franco's occupation?,"[""poet"", ""poetess"", ""bard""]",Poet and courtesan,0.9,,,1,1,0,0
62,2026-01-18 20:57:16,138,24952,What is Maev-Ann Wren's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Author,0.5,0,0,1,0
63,2026-01-18 20:57:17,123,25692,"What is Norman Crowther Hunt, Baron Crowther-Hunt's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.9,,,1,1,0,0
64,2026-01-18 20:57:18,547,26129,What is Vincenzo Di Nicola's occupation?,"[""psychiatrist"", ""alienist"", ""head-shrinker"", ""shrinker"", ""psychologist"", ""psychologists""]",I don't know,,Psychologist,0.5,1,0,1,0
65,2026-01-18 20:57:19,264,28389,What is Tor Aulin's occupation?,"[""composer""]",Composer,0.95,,,1,1,0,0
66,2026-01-18 20:57:20,1126,11827,What is Henry Tizard's occupation?,"[""chemist"", ""chemists""]",Scientist and politician,0.85,,,0,-1,0,1
67,2026-01-18 20:57:21,631,25747,What is Glenn Albrecht's occupation?,"[""philosopher""]",Environmental philosopher,0.9,,,1,1,0,0
68,2026-01-18 20:57:22,326,25692,What is Thomas Hinds's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Politician,0.5,1,0,1,0
69,2026-01-18 20:57:23,2322,26544,What is Tobias Lindholm's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",Film director and screenwriter,0.95,,,1,1,0,0
70,2026-01-18 20:57:23,1028,24952,What is Lisa McRee's occupation?,"[""journalist"", ""journo"", ""journalists""]",Journalist,0.9,,,1,1,0,0
71,2026-01-18 20:57:24,156,12806,What is Rick Gilmore's occupation?,"[""economist"", ""economists""]",I don't know,,Author,0.3,0,0,1,0
72,2026-01-18 20:57:25,75,81374,What is Jon Eikemo's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Musician,0.3,0,0,1,0
73,2026-01-18 20:57:26,3857,24952,What is Jilly Cooper's occupation?,"[""journalist"", ""journo"", ""journalists"", ""novelist""]",Author,0.95,,,0,-1,0,1
74,2026-01-18 20:57:28,885,81374,What is Ingrid Martinez's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Journalist,0.3,0,0,1,0
75,2026-01-18 20:57:28,16203,42844,What is Teddy Riley's occupation?,"[""record producer"", ""music producer"", ""singer-songwriter"", ""singer songwriter"", ""singer/songwriter"", ""singersongwriter"", ""singer-songwriter""]",Music producer and songwriter,0.95,,,1,1,0,0
76,2026-01-18 20:57:30,2206,81374,What is Gillian Raine's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Author,0.5,0,0,1,0
77,2026-01-18 20:57:31,1244,28389,What is Tolis Voskopoulos's occupation?,"[""composer""]",Singer and actor,0.95,,,0,-1,0,1
78,2026-01-18 20:57:32,74,25692,What is Marco Ameglio's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Politician,0.3,1,0,1,0
79,2026-01-18 20:57:33,312,25692,What is Mohd Sharkar Shamsudin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Politician,0.5,1,0,1,0
80,2026-01-18 20:57:34,2491,81374,What is Anthony Sharp's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Author,0.5,0,0,1,0
81,2026-01-18 20:57:35,73,25692,What is Valgerður Bjarnadóttir's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Politician,0.3,1,0,1,0
82,2026-01-18 20:57:36,100,1565,What is Wallace Dollase's occupation?,"[""horse trainer"", ""racehorse trainer""]",I don't know,,Author,0.3,0,0,1,0
83,2026-01-18 20:57:37,622,24952,What is Claire Berlinski's occupation?,"[""journalist"", ""journo"", ""journalists""]",Author and journalist,0.9,,,1,1,0,0
84,2026-01-18 20:57:37,77049,11244,What is James Cook's occupation?,"[""sailor"", ""seaman"", ""mariner"", ""seafarer"", ""merchant sailor"", ""merchant seaman"", ""merchant mariner""]",Explorer,0.95,,,0,-1,0,1
85,2026-01-18 20:57:38,84,25692,What is Russell Stokes's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Business Executive,0.5,0,0,1,0
86,2026-01-18 20:57:39,139,25692,What is Henk Bleker's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.9,,,1,1,0,0
87,2026-01-18 20:57:40,98,5737,What is Jim Brown's occupation?,"[""radio personality"", ""radio presenter"", ""radio hostess"", ""host"", ""hostess"", ""radio host"", ""radio jockey"", ""radio program boss"", ""RJ""]",Professional American football player,0.95,,,0,-1,0,1
88,2026-01-18 20:57:41,1397,5062,What is Christoph Schlingensief's occupation?,"[""theatrical director"", ""stage director"", ""theatre director"", ""play director"", ""director"", ""theater director""]",Filmmaker and theater director,0.9,,,1,1,0,0
89,2026-01-18 20:57:42,2107,11213,What is C. E. Webber's occupation?,"[""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter""]",I don't know,,Author,0.5,0,0,1,0
90,2026-01-18 20:57:43,2793,25692,What is Gladwyn Jebb's occupation?,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Diplomat,0.9,,,1,1,0,0
91,2026-01-18 20:57:44,1334,25692,What is Dean Alfange's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician and lawyer,0.85,,,1,1,0,0
92,2026-01-18 20:57:45,194634,42844,"What is Tyler, the Creator's occupation?","[""record producer"", ""music producer"", ""actor"", ""actress"", ""actors"", ""actresses"", ""graphic designer""]",Musician,0.95,,,0,-1,0,1
93,2026-01-18 20:57:46,66,10855,What is Edwin E. Ellis's occupation?,"[""photographer"", ""photog"", ""photographers""]",I don't know,,Author,0.5,0,0,1,0
94,2026-01-18 20:57:47,94,24952,What is Muhammad Ali Luqman's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Boxer,0.5,0,0,1,0
