dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2025-11-17 23:13:37,1381,922,Who was the composer of Easy Living?,"[""Ralph Rainger"", ""Ralph Reichenthal""]",Ralph Rainger,0.95,,,1,1.0,0,0
1,2025-11-17 23:13:38,326,3976,Who is the father of Æthelburh of Wilton?,"[""Ealhmund of Kent""]",Æthelbert of Kent,0.9,,,0,0.0,0,1
2,2025-11-17 23:13:39,3001,5626,Who was the screenwriter for Shore Leave?,"[""Theodore Sturgeon"", ""E. Waldo Hunter"", ""Edward Hamilton Waldo"", ""Ted Sturgeon""]",George Clayton Johnson,0.95,,,0,0.0,0,1
3,2025-11-17 23:13:40,4414,675,Who is the father of Muiz ud din Qaiqabad?,"[""Nasiruddin Bughra Khan""]",I don't know,,Iltutmish,0.6,0,0.2,1,0
4,2025-11-17 23:13:42,113,150,What is Boulsa the capital of?,"[""Namentenga Province""]",Boulsa is the capital of the Boucle du Mouhoun region in Burkina Faso.,0.9,,,0,0.0,0,1
5,2025-11-17 23:13:44,282,1546,Who was the screenwriter for La rabbia?,"[""Pier Paolo Pasolini"", ""Giovannino Guareschi"", ""Giovanni Guareschi"", ""Giovannino Oliviero Giuseppe Guareschi"", ""Guareschi""]",Pier Paolo Pasolini,0.95,,,1,1.0,0,0
6,2025-11-17 23:13:45,603,24313,Who was the composer of Messa?,"[""Giacomo Puccini"", ""Puccini"", ""Giacomo Antonio Domenico Michele Secondo Maria Puccini""]",Giovanni Battista Pergolesi,0.9,,,0,0.0,0,1
7,2025-11-17 23:13:49,2375,7200,Who was the screenwriter for Beautiful?,"[""Anoop Menon""]",I don't know,,"I would guess it was a well-known screenwriter, possibly someone like David O. Russell.",0.3,0,0.2,1,0
8,2025-11-17 23:13:49,278539,67905,What is the capital of Romania?,"[""Bucharest"", ""Little Paris"", ""Paris of the East"", ""București"", ""Bucureşti"", ""Bucuresti"", ""Буцуреșти""]",Bucharest,0.9999,,,1,1.0,0,0
9,2025-11-17 23:13:50,3812,385976,What is Michael Lynton's occupation?,"[""chief executive officer"", ""CEO"", ""CE"", ""CEx"", ""chief executive""]",Business executive,0.9,,,0,0.0,0,1
10,2025-11-17 23:13:53,747,-2,What is Fraga the capital of?,"[""Bajo Cinca/Baix Cinca""]",Fraga is the capital of the Fraga municipality in Spain.,0.9,,,0,0.0,0,1
