dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2025-11-22 17:33:05,1381,922,Who was the composer of Easy Living?,"[""Ralph Rainger"", ""Ralph Reichenthal""]",Ralph Rainger,0.95,,,1,1.0,0,0
1,2025-11-22 17:33:15,326,3976,Who is the father of Æthelburh of Wilton?,"[""Ealhmund of Kent""]",Æthelberht of Kent,0.9,,,0,0.0,0,1
2,2025-11-22 17:33:15,3001,5626,Who was the screenwriter for Shore Leave?,"[""Theodore Sturgeon"", ""E. Waldo Hunter"", ""Edward Hamilton Waldo"", ""Ted Sturgeon""]",George Clayton Johnson,0.95,,,0,0.0,0,1
3,2025-11-22 17:33:34,4414,675,Who is the father of Muiz ud din Qaiqabad?,"[""Nasiruddin Bughra Khan""]",I don't know,,Iltutmish,0.6,0,0.2,1,0
4,2025-11-22 17:33:35,113,150,What is Boulsa the capital of?,"[""Namentenga Province""]",Boulsa is the capital of the Boucle du Mouhoun region in Burkina Faso.,0.9,,,0,0.0,0,1
5,2025-11-22 18:08:32,282,1546,Who was the screenwriter for La rabbia?,"[""Pier Paolo Pasolini"", ""Giovannino Guareschi"", ""Giovanni Guareschi"", ""Giovannino Oliviero Giuseppe Guareschi"", ""Guareschi""]",Franco Ferrini,0.85,,,0,0.0,0,1
6,2025-11-22 18:08:33,603,24313,Who was the composer of Messa?,"[""Giacomo Puccini"", ""Puccini"", ""Giacomo Antonio Domenico Michele Secondo Maria Puccini""]",Giovanni Battista Pergolesi,0.9,,,0,0.0,0,1
7,2025-11-22 18:08:34,2375,7200,Who was the screenwriter for Beautiful?,"[""Anoop Menon""]",I don't know,,I would guess that the screenwriter is Lisa Cholodenko.,0.3,0,0.2,1,0
8,2025-11-22 18:08:34,278539,67905,What is the capital of Romania?,"[""Bucharest"", ""Little Paris"", ""Paris of the East"", ""București"", ""Bucureşti"", ""Bucuresti"", ""Буцуреșти""]",Bucharest,1.0,,,1,1.0,0,0
9,2025-11-22 18:08:35,3812,385976,What is Michael Lynton's occupation?,"[""chief executive officer"", ""CEO"", ""CE"", ""CEx"", ""chief executive""]",Business executive,0.9,,,0,0.0,0,1
10,2025-11-22 18:08:36,747,-2,What is Fraga the capital of?,"[""Bajo Cinca/Baix Cinca""]","Fraga is the capital of the municipality of Fraga in the province of Huesca, Spain.",0.9,,,0,0.0,0,1
11,2025-11-22 18:08:37,1248,101543,Who was the composer of I Bet?,"[""Ciara"", ""Ciara Princess Harris"", ""Ciara Princess Wilson"", ""Harmony Samuels"", ""Harmony David Samuels"", ""H-Money""]",I don't know,,Tasha Cobbs Leonard,0.3,0,0.2,1,0
12,2025-11-22 18:08:38,733,461,What is Flandreau the capital of?,"[""Moody County"", ""Moody County, South Dakota""]",Flandreau is the capital of Moody County.,0.95,,,1,1.0,0,0
13,2025-11-22 18:08:39,94379,11060,What is the capital of Chad?,"[""N'Djamena"", ""NDjamena""]",N'Djamena,0.9999,,,1,1.0,0,0
14,2025-11-22 18:08:40,200,17215,Who is the author of Sisters?,"[""Lynne Cheney"", ""Lynne Ann Cheney"", ""Lynne Ann Vincent Cheney""]",Daisy Johnson,0.85,,,0,0.0,0,1
15,2025-11-22 18:08:40,796,609,Who was the director of The Rack?,"[""Arnold Laven""]",Arthur Hiller,0.9,,,0,0.0,0,1
16,2025-11-22 18:08:41,142,1629691,In what country is Magnolia Bible College?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",United States,0.95,,,1,1.0,0,0
