dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2026-01-17 16:25:11,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,George Rankin is a politician,0.25,1,0.4,1,0
1,2026-01-17 16:25:11,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Poet,0.25,0,0.4,1,0
2,2026-01-17 16:25:11,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,British Army officer and Arctic explorer,0.25,0,0.4,1,0
3,2026-01-17 16:25:11,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Kathy Saltzman is a former Minnesota state senator (politician).,0.68,,,1,1.0,0,0
4,2026-01-17 16:25:11,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Illustrator and cartoonist (graphic novelist),0.88,,,1,1.0,0,0
5,2026-01-17 16:25:11,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]","Alexander Rinnooy Kan is a Dutch mathematician, economist, and politician; he is primarily known as a mathematician and operations researcher (academic/researcher) and has also served as a politician and business executive.",0.89,,,1,1.0,0,0
6,2026-01-17 16:25:11,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]","Talent manager, entrepreneur, and music executive (commonly described as an American talent manager and record executive)",0.98,,,1,1.0,0,0
7,2026-01-17 16:25:11,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.8723,,,1,1.0,0,0
8,2026-01-17 16:25:11,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He was a British judge and lawyer (Lord Chief Justice; Lord Mansfield).,0.96,,,0,-1.0,0,1
9,2026-01-17 16:25:11,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",He is an Icelandic actor.,0.92,,,1,1.0,0,0
10,2026-01-17 16:25:11,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Footballer (soccer player),0.25,0,0.4,1,0
11,2026-01-17 16:25:11,230,81374,What is Jacob Kraemer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,,,0,0.4,1,0
12,2026-01-17 16:25:11,461,45772,What is Fred C. Newmeyer's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",Fred C. Newmeyer was an American film director (and actor and film producer).,0.7923,,,1,1.0,0,0
13,2026-01-17 16:25:11,74,25692,What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He was an Australian politician (a Member of the Australian House of Representatives).,0.73,,,1,1.0,0,0
14,2026-01-17 16:25:11,505,81374,What is Bae Geu-rin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Actress,0.42,1,0.4,1,0
15,2026-01-17 16:25:11,169,25692,What is Javier Alva Orlandini's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician and lawyer,0.85,,,1,1.0,0,0
16,2026-01-17 16:25:11,287843,11213,What is Edgar Allan Poe's occupation?,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]","Edgar Allan Poe was an American writer, poet, editor, and literary critic.",0.95,,,1,1.0,0,0
17,2026-01-17 16:25:11,48,25692,What is John Finlay's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,John Finlay is a writer (author/poet),0.25,0,0.4,1,0
18,2026-01-17 16:25:11,370,25692,What is John Floyd's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,John Floyd is a politician (American state or local politician),0.25,1,0.4,1,0
19,2026-01-17 16:25:11,115,81374,What is Sachiko Kokubu's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",Japanese actress and model,0.85,,,1,1.0,0,0
20,2026-01-17 16:25:11,2092,25692,What is Rudolf Hilferding's occupation?,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","Austrian-German Marxist economist, politician, and finance minister (i.e., economist and politician)",0.93,,,1,1.0,0,0
21,2026-01-17 16:25:11,285,25692,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He is a British peer and businessman (chartered surveyor/land agent).,0.68,,,0,-1.0,0,1
22,2026-01-17 16:25:11,2251,81374,What is Akari Hayami's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress and former singer (former member of the Japanese idol group Momoiro Clover Z),0.82,,,1,1.0,0,0
23,2026-01-17 16:25:11,381,81374,What is Richard Martin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Actor,0.25,1,0.4,1,0
24,2026-01-17 16:25:11,103,43223,"What is Harvey Peltier, Sr.'s occupation?","[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (Louisiana state senator),0.72,,,1,1.0,0,0
25,2026-01-17 16:25:11,126,81374,What is Paris's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",,,,,0,0.4,1,1
26,2026-01-17 16:25:11,112,12939,What is Fairfax M. Cone's occupation?,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",Advertising executive,0.8421,,,0,-1.0,0,1
27,2026-01-17 16:25:11,1718,81374,What is Colleen Zenk Pinter's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.97,,,1,1.0,0,0
28,2026-01-17 16:25:11,152,8320,What is Thomas McMurtry's occupation?,"[""test pilot""]",I don't know,,,,0,0.4,1,0
29,2026-01-17 16:25:11,322,43223,What is Albert Bates's occupation?,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]","American author, activist, and permaculturist; co-founder of the Global Village Institute and founder of the Ecovillage training and related sustainability projects (often described as an environmentalist, author, and social permaculture educator)",0.75,,,0,-1.0,0,1
30,2026-01-17 16:25:11,1132,25550,What is Heath's occupation?,"[""songwriter"", ""song writer""]",,,,,0,0.4,1,1
31,2026-01-17 16:25:11,396,42844,What is Wise's occupation?,"[""record producer"", ""music producer""]",I don't know,,Author and podcaster (self-help/wisdom content creator),0.15,0,0.4,1,0
32,2026-01-17 16:25:11,792,24952,What is Stevie Cameron's occupation?,"[""journalist"", ""journo"", ""journalists""]",Investigative journalist and author,0.92,,,1,1.0,0,0
33,2026-01-17 16:25:11,996,7223,What is Yoshiki Tonogai's occupation?,"[""mangaka"", ""manga artist""]",Manga artist (Japanese manga artist and illustrator),0.86,,,1,1.0,0,0
34,2026-01-17 16:25:11,1085,8848,What is Geeling Ng's occupation?,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",Actress and model,0.72,,,0,-1.0,0,1
35,2026-01-17 16:25:11,91,28389,What is Bruce McDaniel's occupation?,"[""composer""]",I don't know,,"Bruce McDaniel is a musician (guitarist, songwriter, and/or producer).",0.25,0,0.4,1,0
36,2026-01-17 16:25:11,162,25692,What is Thomas R. Whitney's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,"Thomas R. Whitney was a U.S. politician (specifically, a member of the U.S. House of Representatives from New York in the mid-19th century).",0.42,1,0.4,1,0
37,2026-01-17 16:25:11,503,28889,What is William Lescaze's occupation?,"[""architect""]",Architect,0.94,,,1,1.0,0,0
38,2026-01-17 16:25:11,68,81374,What is Edwin Wallock's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Actor,0.25,1,0.4,1,0
39,2026-01-17 16:25:12,195,12368,What is Tsutomu Seki's occupation?,"[""astronomer""]",Tsutomu Seki is a Japanese amateur astronomer and prolific discoverer of comets and asteroids (astronomer).,0.9367,,,1,1.0,0,0
40,2026-01-17 16:25:12,63,16672,What is Matthew McKay's occupation?,"[""dentist"", ""dentists"", ""dental surgeon""]",Psychologist and author,0.85,,,0,-1.0,0,1
41,2026-01-17 16:25:12,97,7581,What is Dominick Bellizzi's occupation?,"[""jockey""]",I don't know,,Dominick Bellizzi was a professional jockey (horse racing jockey).,0.25,1,0.4,1,0
42,2026-01-17 16:25:12,510,48188,What is William Watson's occupation?,"[""physician"", ""physicians"", ""medical doctor"", ""medical practitioner"", ""doctor"", ""medical doctors""]",I don't know,,William Watson is a poet.,0.25,0,0.4,1,0
43,2026-01-17 16:25:12,766,25550,What is Sarah Dawn Finer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""songwriter"", ""song writer""]","Singer, songwriter, and actress (Swedish singer-songwriter and actress who is also a musical performer and TV presenter)",0.81,,,1,1.0,0,0
44,2026-01-17 16:25:12,2680,20148,What is Brendan Canty's occupation?,"[""composer"", ""musician"", ""musical artist""]","Brendan Canty is a musician and record producer, best known as the drummer for the rock band Fugazi.",0.88,,,1,1.0,0,0
