dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag,self_confidence,api_confidence_min,api_confidence_avg
0,2026/3/8 15:29,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",,,Author,0.3,0,0,1,0,0.3,0.7121384718952868,0.8436283487513477
1,2026/3/8 15:29,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Author,0.5,0,0,1,0,0.5,0.7211494680239174,0.8489466908882608
2,2026/3/8 15:29,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Architect,0.6,0,0,1,0,0.6,0.5599232056328498,0.7482330897770194
3,2026/3/8 15:29,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",,,Author,0.3,0,0,1,0,0.3,0.516696109,0.7184719978484345
4,2026/3/8 15:29,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Cartoonist and illustrator,0.9,,,1,1,0,0,0.9,0.4635073401327377,0.8240268624421753
5,2026/3/8 15:29,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]",Politician and economist,0.85,,,1,1,0,0,0.85,0.6290169787218256,0.8491315869596271
6,2026/3/8 15:29,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]",Talent manager and music executive,0.95,,,1,1,0,0,0.95,0.5595033176859538,0.8227565832191095
7,2026/3/8 15:29,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Artist,0.3,0,0,1,0,0.3,0.42612397259675927,0.6527110104891921
8,2026/3/8 15:29,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Lawyer and judge,0.95,,,0,0,0,1,0.95,0.42279749192098903,0.6494115285784546
9,2026/3/8 15:29,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Academic,0.6,0,0,1,0,0.6,0.5338829409550943,0.7090438375123873
10,2026/3/8 15:29,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",,,Athlete,0.3,0,0,1,0,0.3,0.5732096357406646,0.7570473184359291
11,2026/3/8 15:29,230,81374,What is Jacob Kraemer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",,,Writer,0.3,0,0,1,0,0.3,0.15004944809453008,0.3873206466290193
12,2026/3/8 15:29,461,45772,What is Fred C. Newmeyer's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",Linguist,0.95,,,0,0,0,1,0.95,0.9866335814379646,0.9953785929447371
13,2026/3/8 15:29,74,25692,What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",,,Author,0.3,0,0,1,0,0.3,0.44096263079238096,0.6639782824241401
14,2026/3/8 15:29,505,81374,What is Bae Geu-rin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.95,,,1,1,0,0,0.95,0.9223354345968694,0.958175056
15,2026/3/8 15:29,169,25692,What is Javier Alva Orlandini's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Politician,0.5,1,1,1,0,0.5,0.8875814264185674,0.960930465
16,2026/3/8 15:29,287843,11213,What is Edgar Allan Poe's occupation?,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]",Writer,0.9999,,,1,1,0,0,0.9999,0.8090700026191676,0.8252736200580983
17,2026/3/8 15:29,48,25692,What is John Finlay's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Reality TV personality,0.75,0,0,1,0,0.75,0.2976618649213995,0.635628081
18,2026/3/8 15:29,370,25692,What is John Floyd's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",,,Author,0.5,0,0,1,0,0.5,0.851257747,0.9223980280717302
19,2026/3/8 15:29,115,81374,What is Sachiko Kokubu's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",I don't know,,Artist,0.5,0,0,1,0,0.5,0.3752700444660182,0.6124910921621867
20,2026/3/8 15:30,2092,25692,What is Rudolf Hilferding's occupation?,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Economist,0.95,,,1,1,0,0,0.95,0.530081444,0.726471559
21,2026/3/8 15:30,285,25692,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Politician,0.5,1,1,1,0,0.5,0.9933271280020886,0.9976659545161067
22,2026/3/8 15:30,2251,81374,What is Akari Hayami's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Voice actress,0.75,1,1,1,0,0.75,0.9564753855635534,0.9764992358992212
23,2026/3/8 15:30,381,81374,What is Richard Martin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",,,Author,0.3,0,0,1,0,0.3,0.4321869672430875,0.657158825
24,2026/3/8 15:30,103,43223,"What is Harvey Peltier, Sr.'s occupation?","[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",,,Businessman,0.5,0,0,1,0,0.5,0.7075042948408682,0.8872056698460997
25,2026/3/8 15:30,126,81374,What is Paris's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,"Paris is a city, so it does not have an occupation.",0.9,0,0,1,0,0.9,0.4992159490807735,0.8288862131266851
26,2026/3/8 15:30,112,12939,What is Fairfax M. Cone's occupation?,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",Advertising executive,0.9,,,0,0,0,1,0.9,0.7301072697110689,0.8613420280879126
27,2026/3/8 15:30,1718,81374,What is Colleen Zenk Pinter's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.95,,,1,1,0,0,0.95,0.7540879361073429,0.8674884574758456
