dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
0,2025-12-30 17:58:03,142,25692,What is George Rankin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0,1,0
1,2025-12-30 17:58:04,236,24952,What is John Mayne's occupation?,"[""journalist"", ""journo"", ""journalists""]",Poet,0.67,,,0,0,0,1
2,2025-12-30 17:58:06,58,25692,What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Henry Feilden was a British army officer and naturalist (ornithologist).,0.36,0,0,1,0
3,2025-12-30 17:58:08,127,25692,What is Kathy Saltzman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Kathy Saltzman is a politician (former member of the Minnesota State Senate).,0.79,,,1,1,0,0
4,2025-12-30 17:58:10,317,9649,What is Eleanor Davis's occupation?,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",Cartoonist and illustrator,0.86,,,1,1,0,0
5,2025-12-30 17:58:12,318,23111,What is Alexander Rinnooy Kan's occupation?,"[""mathematician"", ""economist"", ""economists""]","Politician, mathematician, operations researcher, and business executive (Dutch mathematician and former politician; professor and corporate director)",0.77,,,1,1,0,0
6,2025-12-30 17:58:14,66280,4624,What is Scooter Braun's occupation?,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]","Talent manager, entrepreneur, media proprietor (music executive)",0.84,,,1,1,0,0
7,2025-12-30 17:58:16,124,25692,What is Leona Detiège's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.82,,,1,1,0,0
8,2025-12-30 17:58:17,5766,25692,"What is William Murray, 1st Earl of Mansfield's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He was a judge (Lord Chief Justice / prominent jurist),0.93,,,0,0,0,1
9,2025-12-30 17:58:18,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.9467,,,1,1,0,0
10,2025-12-30 17:58:20,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",Sports journalist (football/soccer reporter),0.73,,,1,1,0,0
11,2025-12-30 17:58:22,230,81374,What is Jacob Kraemer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.67,,,1,1,0,0
12,2025-12-30 17:58:23,461,45772,What is Fred C. Newmeyer's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",Film director and actor,0.63,,,1,1,0,0
13,2025-12-30 17:58:24,74,25692,What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (Australian politician — member of the House of Representatives),0.86,,,1,1,0,0
14,2025-12-30 17:58:26,505,81374,What is Bae Geu-rin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.89,,,1,1,0,0
15,2025-12-30 17:58:27,169,25692,What is Javier Alva Orlandini's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","Politician (Peruvian lawyer and politician; former Vice President of Peru, senator, and Minister of Government and Police)",0.86,,,1,1,0,0
16,2025-12-30 17:58:29,287843,11213,What is Edgar Allan Poe's occupation?,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]","He was an American writer, poet, editor, and literary critic (best known as a writer/poet).",0.98,,,1,1,0,0
17,2025-12-30 17:58:30,48,25692,What is John Finlay's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,"Author and literary scholar (John Finlay, Canadian poet and author / biographer)",0.22,0,0,1,0
18,2025-12-30 17:58:32,370,25692,What is John Floyd's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,John Floyd is a politician (American politician),0.26,1,1,1,0
19,2025-12-30 17:58:33,115,81374,What is Sachiko Kokubu's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",Actress and fashion model,0.72,,,1,1,0,0
20,2025-12-30 17:58:34,2092,25692,What is Rudolf Hilferding's occupation?,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","Economist and politician (Austrian-born Marxist economist, finance minister of Germany)",0.94,,,1,1,0,0
21,2025-12-30 17:58:36,285,25692,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He is a British hereditary peer and barrister (lawyer) — a member of the House of Lords as a hereditary peer.,0.61,,,0,0,0,1
22,2025-12-30 17:58:38,2251,81374,What is Akari Hayami's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","Actress and former singer (former member of the Japanese idol group Momoiro Clover/Z-Pop or more precisely, she was a member of Momoiro Clover; she is now an actress)",0.2938,,,1,1,0,0
23,2025-12-30 17:58:40,381,81374,What is Richard Martin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Richard Martin is an actor,0.25,1,1,1,0
24,2025-12-30 17:58:41,103,43223,"What is Harvey Peltier, Sr.'s occupation?","[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (Louisiana state senator and businessman),0.72,,,1,1,0,0
25,2025-12-30 17:58:43,126,81374,What is Paris's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Paris is a fashion model.,0.15,0,0,1,0
26,2025-12-30 17:58:45,112,12939,What is Fairfax M. Cone's occupation?,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",Advertising executive,0.86,,,0,0,0,1
27,2025-12-30 17:58:46,1718,81374,What is Colleen Zenk Pinter's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.98,,,1,1,0,0
28,2025-12-30 17:58:49,152,8320,What is Thomas McMurtry's occupation?,"[""test pilot""]",Test pilot (United States Air Force test pilot and later NASA test pilot/astronaut candidate),0.73,,,1,1,0,0
29,2025-12-30 17:58:50,322,43223,What is Albert Bates's occupation?,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]","Writer and environmental activist (author, permaculturist, sustainable-living advocate)",0.72,,,0,0,0,1
